Composition,denstiy,Temperature
Rb12Sr39Cl90,2.3311063015984,1350
Na38Zr13Cl90,1.91584793196803,1000
Sr13Ba38Cl102,2.67203994985015,1450
K18Zr33Cl150,1.3662648016983,1100
Mg20Na31Cl71,1.49200704655344,1500
K27Ba24Cl75,2.18369675204795,1150
Mg6K45Cl57,1.38345722877122,1000
Cs39Zn12Cl63,2.47366713556443,1050
Li35Zr16Cl99,1.67682741608391,1100
Ca32Zn19Cl102,1.91344052857142,1350
Ba14Ca37Cl102,2.33418666483516,1000
Zn12Na39Cl63,1.90306603296703,1000
Na33Ba18Cl69,2.22141393796203,1250
Cs19Ca32Cl83,2.06498348301698,1250
K27Ca24Cl75,1.64052442857142,1100
Li42Zr9Cl78,1.64242196223776,1200
Mg23Ca28Cl102,1.72022503126873,1350
Zr13Cs38Cl90,2.3827816066933,1050
Zn12Na39Cl63,1.90306603296703,1000
Sr31Ca20Cl102,2.25175009460539,1300
Ca17Na27Cs7Cl68,1.79621648471528,1400
K21Na16Mg15Cl67,1.4568879056943,1200
Zr28Zn20Rb3Cl155,0.0502154464405191,1050
Zn17Rb16Li18Cl68,1.92736995134865,1250
Zr2Na2Zn48Cl106,2.02914771068931,1000
K11Zr4Ca37Cl101,1.82481518301698,1150
Na15K29Sr7Cl58,1.46106974185814,1400
Zr8Zn9Ba34Cl118,2.57056572797202,1200
Cs22Mg1Sr29Cl82,2.46761576593406,1150
Sr13Na6Ba32Cl96,2.63770339460539,1350
Na24Ca23Sr5Cl80,1.86224057062937,1250
Ca21Sr25Zn6Cl104,2.26054698881118,1200
Rb23Ca19Cs10Cl71,2.04505976613386,1250
Rb10Ca30Mg12Cl94,1.94327151148851,1050
Mg2Zn18K31Cl71,1.71120575324675,1050
Li29Mg5Na17Cl56,1.59828897342657,1000
Ba20Ca11K21Cl83,2.19484695174825,1100
Zn13Ca27Ba12Cl104,2.12174001768231,1450
Zr1Zn41Rb10Cl96,1.73509149320679,1350
Li12Rb14Sr25Na1Cl77,2.06883108101898,1500
Na18Mg16K9Ba9Cl77,1.84940763546453,1250
Cs9Sr7K18Zn18Cl77,2.05272629210789,1100
Zn18Sr13Cs4Ca18Cl102,2.15562028761238,1300
K12Zr3Rb16Cs21Cl61,2.08672072327672,1150
Na18Mg16Zr13K5Cl107,1.5733333095904,1300
Mg18Li13Zr7K13Cl90,1.49016826123876,1350
Rb18Mg24Na3K8Cl77,1.61176344325674,1400
Rb28Zn4Ca7Zr13Cl102,2.09829292017981,1050
Na25Cs6Zr9Mg12Cl91,1.63709224285714,1500
Sr21Cs5K11Mg16Cl90,2.112102303996,1050
Sr6Na22Li5Cs18Cl57,2.22340276113886,1000
Zn7Na12Sr16Mg17Cl92,2.04751528621378,1200
Rb19K6Na21Zr6Cl70,1.67792503446553,1500
Na11Mg16Cs14Ca12Cl81,1.7744581026973,1500
K21Zr2Sr5Zn24Cl87,1.76769159480519,1300
Ba21Mg9Zr10Sr13Cl126,2.42103722337662,1150
Cs5Zr4Ca27Li15Cl90,1.89751374965034,1200
Li5Ca28Sr7Ba12Cl99,2.15291912477522,1400
Rb21Li18Zn9Ca4Cl65,1.92802365314685,1200
