No,compound,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,Space Group No.,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Tc_real,MagnetizationDensity
2,Nd2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,28.76470588,55,7.349480969,60,5,26,51.76470588,53,7.709342561,72,19,55,63.59558824,133.431,18.9756263,144.242,10.811,55.845,1781.764706,1054,114.7681661,2348,1294,1811,7.705882353,10,1.107266436,13,3,8,4.117647059,4,0.442906574,6,2,4,137.2941176,117,14.98961938,201,84,132,1.761176471,0.9,0.14615917,2.04,1.14,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,4.941176471,6,1.743944637,6,0,6,0.470588235,4,0.830449827,4,0,0,7.470588235,5,0.871972318,8,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.294117647,4,1.162629758,4,0,4,1.176470588,10,2.076124567,10,0,0,4.764705882,6,1.259515571,10,4,4,13.35367647,27.6375,5.048546713,34.81,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.267716535,0.007874016,0.661417323,0.062992126,0,0.183313517,0.025343476,593,59.82746541
4,Ni3Al1,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,24.25,15,5.625,28,13,28,64,12,4.5,73,61,61,50.76543465,31.7118614,11.89194803,58.6934,26.9815386,58.6934,1529.3675,794.53,297.94875,1728,933.47,1728,10.75,3,1.125,13,10,10,3.75,1,0.375,4,3,4,123.25,3,1.125,124,121,124,1.835,0.3,0.1125,1.91,1.61,1.91,2,0,0,2,2,2,0.25,1,0.375,1,0,0,6,8,3,8,0,8,0,0,0,0,0,0,8.25,7,2.625,10,3,10,0,0,0,0,0,0,1.25,5,1.875,5,0,0,1.5,2,0.75,2,0,2,0,0,0,0,0,0,2.75,3,1.125,5,2,2,11.86,6.16,2.31,16.48,10.32,10.32,0,0,0,0,0,0,0.446546025,0.5953947,0.223273013,0.5953947,0,0.5953947,221,0.242424242,0.03030303,0.727272727,0,0,0.022248763,0.008343286,87.5,17.5822293
10,Fe0.5Ni0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,27,2,1,28,26,27,58,6,3,61,55,58,57.2692,2.8484,1.4242,58.6934,55.845,57.2692,1769.5,83,41.5,1811,1728,1769.5,9,2,1,10,8,9,4,0,0,4,4,4,128,8,4,132,124,128,1.87,0.08,0.04,1.91,1.83,1.87,2,0,0,2,2,2,0,0,0,0,0,0,7,2,1,8,6,7,0,0,0,0,0,0,9,2,1,10,8,9,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,4,2,3,0,0,0,0,0,0,3,2,1,4,2,3,10.525,0.41,0.205,10.73,10.32,10.525,0,0,0,0,0,0,1.35302875,1.5152681,0.75763405,2.1106628,0.5953947,1.35302875,225,0.222222222,0,0.777777778,0,0,0.001598721,0.000799,900,57.37553869
14,Mn1Ni2Ga1,3,0.612372436,0.538608673,0.506099365,0.501108669,0.500097571,28,6,1.5,31,25,28,62,22,6,74,52,61,60.51196125,14.784955,4.605519375,69.723,54.938045,58.6934,1319.4775,1425.09,508.28375,1728,302.91,1728,10,6,1.5,13,7,10,4,0,0,4,4,4,127.25,17,5.875,139,122,124,1.795,0.36,0.1225,1.91,1.55,1.91,2,0,0,2,2,2,0.25,1,0.375,1,0,0,7.75,5,1.375,10,5,8,0,0,0,0,0,0,10,6,1.5,13,7,10,0,0,0,0,0,0,1.25,5,1.875,5,0,0,2.25,5,1.375,5,0,2,0,0,0,0,0,0,3.5,3,1.5,5,2,2,12.49627155,8.5375,3.180614224,18.8575,10.32,10.32,0,0,0,0,0,0,0.29777488,0.5953947,0.29761982,0.5953947,0,0.5953947,225,0.2,0.025,0.775,0,0,0.031880743,0.010689155,363,83.21615246
16,Nd2Fe13Co1B1,4,0.77816215,0.765864354,0.764719887,0.764706109,0.764705883,28.82352941,55,7.335640138,60,5,26,51.94117647,53,7.750865052,72,19,55,63.77724676,133.431,18.93288311,144.242,10.811,55.845,1779.235294,1054,115.4948097,2348,1294,1811,7.764705882,10,1.121107266,13,3,8,4.117647059,4,0.442906574,6,2,4,136.9411765,117,15.07266436,201,84,132,1.764117647,0.9,0.146851211,2.04,1.14,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,5,7,1.764705882,7,0,6,0.470588235,4,0.830449827,4,0,0,7.529411765,6,0.892733564,9,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.235294118,4,1.169550173,4,0,4,1.176470588,10,2.076124567,10,0,0,4.705882353,7,1.280276817,10,3,4,13.32514706,27.6375,5.055259516,34.81,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.7051228,2.1106628,0.620237647,2.1106628,0,2.1106628,136,0.265625,0.0078125,0.6640625,0.0625,0,0.183313517,0.025585649,670,50.6486268
20,Gd1Co2,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,39.33333333,37,16.44444444,64,27,27,47.66666667,31,13.77777778,58,27,58,91.70546333,98.316805,43.69635778,157.25,58.933195,58.933195,1707.333333,182,80.88888889,1768,1586,1768,7,6,2.666666667,9,3,9,4.666666667,2,0.888888889,6,4,4,149.3333333,70,31.11111111,196,126,126,1.653333333,0.68,0.302222222,1.88,1.2,1.88,2,0,0,2,2,2,0,0,0,0,0,0,5,6,2.666666667,7,1,7,2.333333333,7,3.111111111,7,0,0,9.333333333,1,0.444444444,10,9,9,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2.666666667,9,3,3,2.333333333,7,3.111111111,7,0,0,7.333333333,13,5.777777778,16,3,3,17.51333333,21.805,9.691111111,32.05,10.245,10.245,0,0,0,0,0,0,1.032314133,1.5484712,0.688209422,1.5484712,0,1.5484712,227,0.214285714,0,0.535714286,0.25,0,0.109168515,0.04851934,402,41.45060289
21,Fe1Pt3,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,65,52,19.5,78,26,78,61,8,3,63,55,63,160.27425,139.239,52.214625,195.084,55.845,195.084,1983.8,230.4,86.4,2041.4,1811,2041.4,9.5,2,0.75,10,8,10,5.5,2,0.75,6,4,6,135,4,1.5,136,132,136,2.1675,0.45,0.16875,2.28,1.83,2.28,1.25,1,0.375,2,1,1,0,0,0,0,0,0,8.25,3,1.125,9,6,9,10.5,14,5.25,14,0,14,20,16,6,24,8,24,0.75,1,0.375,1,0,1,0,0,0,0,0,0,1.75,3,1.125,4,1,1,0,0,0,0,0,0,2.5,2,0.75,4,2,2,13.9475,4.29,1.60875,15.02,10.73,15.02,0,0,0,0,0,0,0.5276657,2.1106628,0.79149855,2.1106628,0,0,221,0.0625,0,0.4125,0.525,0,0.049364908,0.018511841,419,73.81301236
24,Y1Ti1Fe11,3,0.853118193,0.846577453,0.846155948,0.846153859,0.846153846,26.69230769,17,1.893491124,39,22,26,50.76923077,43,7.159763314,55,12,55,57.77445,41.03885,4.789446154,88.90585,47.867,55.845,1820.076923,142,18.6035503,1941,1799,1811,7.307692308,5,1.171597633,8,3,8,4.076923077,1,0.142011834,5,4,4,138.6153846,58,11.19526627,190,132,132,1.760769231,0.61,0.117159763,1.83,1.22,1.83,2,0,0,2,2,2,0,0,0,0,0,0,5.307692308,5,1.171597633,6,1,6,0,0,0,0,0,0,7.307692308,5,1.171597633,8,3,8,0,0,0,0,0,0,0,0,0,0,0,0,4.692307692,5,1.171597633,9,4,4,0,0,0,0,0,0,4.692307692,5,1.171597633,9,4,4,12.85269231,21.635,3.592248521,32.365,10.73,10.73,0,0,0,0,0,0,1.785947179,2.1106628,0.549518742,2.1106628,0,2.1106628,139,0.273684211,0,0.726315789,0,0,0.088829279,0.014571099,525,85.58913463
26,Cu0.5Ni0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,28.5,1,0.5,29,28,28.5,62.5,3,1.5,64,61,62.5,61.1197,4.8526,2.4263,63.546,58.6934,61.1197,1542.885,370.23,185.115,1728,1357.77,1542.885,10.5,1,0.5,11,10,10.5,4,0,0,4,4,4,128,8,4,132,124,128,1.905,0.01,0.005,1.91,1.9,1.905,1.5,1,0.5,2,1,1.5,0,0,0,0,0,0,9,2,1,10,8,9,0,0,0,0,0,0,10.5,1,0.5,11,10,10.5,0.5,1,0.5,1,0,0.5,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,0,0,0,1.5,1,0.5,2,1,1.5,10.695,0.75,0.375,11.07,10.32,10.695,0,0,0,0,0,0,0.29769735,0.5953947,0.29769735,0.5953947,0,0.29769735,225,0.142857143,0,0.857142857,0,0,2.50E-05,1.25E-05,531,57.53172998
28,Pr2Fe14B1,3,0.833967463,0.824428789,0.823539518,0.823529556,0.823529412,28.64705882,54,7.141868512,59,5,26,51.52941176,55,8.124567474,72,17,55,63.20331176,130.09665,18.2833737,140.90765,10.811,55.845,1771.176471,1144,133.4532872,2348,1204,1811,7.705882353,10,1.107266436,13,3,8,4.117647059,4,0.442906574,6,2,4,137.5294118,119,15.40484429,203,84,132,1.76,0.91,0.148235294,2.04,1.13,1.83,2,0,0,2,2,2,0.058823529,1,0.110726644,1,0,0,4.941176471,6,1.743944637,6,0,6,0.352941176,3,0.62283737,3,0,0,7.352941176,5,1.065743945,8,3,8,0,0,0,0,0,0,0.294117647,5,0.553633218,5,0,0,3.294117647,4,1.162629758,4,0,4,1.294117647,11,2.283737024,11,0,0,4.882352941,7,1.453287197,11,4,4,13.45544118,28.5025,5.228131488,35.675,7.1725,10.73,0.089647059,1.524,0.168747405,1.524,0,0,1.738192894,2.1106628,0.613479845,2.1106628,0,2.1106628,136,0.272,0.008,0.672,0.048,0,0.187000675,0.025991268,551,111.2513919
