composition,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,Temperature,denstiy
Rb12Sr39Cl90,3,0.7008369826383236,0.6556396303705622,0.6402419540029606,0.638559244830956,0.6383127728819948,24.51063829787234,21,9.588048890900861,38,17,17,62.5531914893617,90,40.14486192847443,94,4,94,54.13874893617022,52.167,23.854147578089634,87.62,35.453,35.453,426.5497872340426,878.4,344.8873517428701,1050.0,171.6,171.6,11.48936170212766,16,7.034857401539158,17,1,17,3.7234042553191493,2,0.9234947940244456,5,3,3,137.7659574468085,118,45.658669081032144,220,102,102,2.3495744680851063,2.3400000000000003,1.0345857854232685,3.16,0.82,3.16,1.9148936170212767,1,0.15572657311000446,2,1,2,3.1914893617021276,5,2.3087369850611137,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,5.1063829787234045,6,2.4173834314169307,7,1,7,0.0851063829787234,1,0.1557265731100045,1,0,0,0.6382978723404256,1,0.4617473970122227,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.723404255319149,1,0.400181077410593,1,0,1,38.35755319148936,66.225,17.69368492530557,90.7225,24.4975,24.4975,1.5912765957446808,2.493,1.1511362607514712,2.493,0,2.493,0,0,0,0,0,0,122.57446808510639,165,74.77591670439114,229,64,64,0.375,0.625,0.0,0,1,0.7456133690005964,0.33016843233311616,1350,2.3311063015984
Na38Zr13Cl90,3,0.698968463978265,0.6545373650708928,0.6400096987807821,0.6385158972053264,0.6383093646844338,17.50354609929078,29,4.148282279563402,40,11,17,64.59574468085107,92,37.537347215934815,94,2,94,37.23612221730497,68.23423072,9.95521150602887,91.224,22.98976928,35.453,405.68127659574463,1956.4,317.59068658518174,2128.0,171.6,171.6,11.48936170212766,16,7.034857401539158,17,1,17,3.1843971631205674,2,0.33479201247422163,5,3,3,125.9787234042553,73,30.611136260751465,175,102,102,2.3902836879432625,2.23,0.9826165685830692,3.16,0.93,3.16,1.7304964539007093,1,0.3937427694783964,2,1,2,3.1914893617021276,5,2.3087369850611137,5,0,5,0.18439716312056736,2,0.3347920124742216,2,0,0,0,0,0,0,0,0,5.1063829787234045,6,2.4173834314169307,7,1,7,0.2695035460992908,1,0.3937427694783965,1,0,0,0.6382978723404256,1,0.4617473970122228,1,0,1,0.7375886524822695,8,1.3391680498968863,8,0,0,0,0,0,0,0,0,1.6453900709219857,7,1.1717720436597756,8,1,1,25.6564302600383,6.0483333333000004,1.9333661955169474,29.2433333333,23.195,24.4975,1.5912765957446808,2.493,1.1511362607514712,2.493,0,2.493,0,0,0,0,0,0,120.45390070921985,165,72.06880941602535,229,64,64,0.3388888888888889,0.625,0.03611111111111111,0,1,0.7115475428918885,0.313501101413104,1000,1.91584793196803
Ba38Sr13Cl102,3,0.7164841703806742,0.6784091551170027,0.6676252662854041,0.6667615407011184,0.6666701002094269,28.470588235294116,39,15.294117647058822,56,17,17,65.58169934640523,86,37.891067538126364,94,8,94,65.1875294117647,101.874,39.64603921568627,137.327,35.453,35.453,451.9816993464052,878.4,373.84226579520697,1050.0,171.6,171.6,11.999999999999998,15,6.666666666666668,17,2,17,3.9150326797385624,3,1.2200435729847496,6,3,3,137.96732026143792,113,47.95642701525055,215,102,102,2.4084313725490194,2.27,1.002091503267974,3.16,0.89,3.16,2.0,0,0.0,2,2,2,3.333333333333333,5,2.2222222222222223,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,5.333333333333333,5,2.2222222222222223,7,2,7,0.0,0,0.0,0,0,0,0.6666666666666666,1,0.4444444444444444,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1,0.4444444444444444,1,0,1,36.733039215686276,39.0925,16.314052287581703,63.59,24.4975,24.4975,1.662,2.493,1.108,2.493,0,2.493,0,0,0,0,0,0,118.66013071895424,165,72.88017429193899,229,64,64,0.375,0.625,0.0,0,1,0.7242401773760752,0.31975096609536796,1450,2.67203994985015
K18Zr33Cl150,3,0.7693447145587984,0.7493346500091547,0.7463492730882627,0.7462713541175479,0.7462686765834604,20.955223880597018,23,6.253508576520385,40,17,17,77.64179104477613,91,24.415237246602803,94,3,94,44.9358776119403,55.771,15.199084963243484,91.224,35.453,35.453,507.5698507462687,1956.4,532.0815415460013,2128.0,171.6,171.6,13.432835820895525,16,5.324125640454444,17,1,17,3.4179104477611943,2,0.6237469369570061,5,3,3,123.02985074626866,101,31.387836934729343,203,102,102,2.6500000000000004,2.3400000000000003,0.7611940298507462,3.16,0.82,3.16,1.91044776119403,1,0.16306527066161713,2,1,2,3.7313432835820897,5,1.8935174871909113,5,0,5,0.3283582089552239,2,0.5488973045221653,2,0,0,0,0,0,0,0,0,5.970149253731344,6,1.5370906660726218,7,1,7,0.08955223880597014,1,0.16306527066161727,1,0,0,0.746268656716418,1,0.3787034974381822,1,0,1,1.3134328358208955,8,2.1955892180886614,8,0,0,0,0,0,0,0,0,2.1492537313432836,7,1.9211405658275784,8,1,1,28.636716417913433,49.91166666669999,7.964767208737894,73.1066666667,23.195,24.4975,1.8604477611940298,2.493,0.9441078191133883,2.493,0,2.493,0,0,0,0,0,0,100.11940298507463,165,53.90955669414123,229,64,64,0.32,0.625,0.055,0,1,0.7456133690005964,0.2404715986274918,1100,1.3662648016983
Na31Mg20Cl71,3,0.655840155931066,0.6017686855205884,0.5840062195834507,0.5822300490024525,0.5819820476649497,14.655737704918034,6,2.7285675893576995,17,11,17,66.36065573770492,92,32.70787422735824,94,2,94,30.458572521967216,12.463230720000002,5.813186080988983,35.453,22.98976928,35.453,345.4145081967213,751.4,202.30868986831496,923.0,171.6,171.6,10.475409836065575,16,7.594195108841708,17,1,17,3.0,0,0.0,3,3,3,124.65573770491802,64,26.369793066380005,166,102,102,2.2900819672131147,2.23,1.012527546358506,3.16,0.93,3.16,1.7459016393442623,1,0.3790647675356087,2,1,2,2.9098360655737703,5,2.4328137597420048,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,4.655737704918033,6,2.7285675893576995,7,1,7,0.2540983606557377,1,0.3790647675356087,1,0,0,0.5819672131147541,1,0.48656275194840093,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.8360655737704918,1,0.2741198602526202,1,0,1,25.43988387977295,6.3533333333,1.9329005419563696,29.2433333333,22.89,24.4975,1.450844262295082,2.493,1.2130009406073636,2.493,0,2.493,0,0,0,0,0,0,127.23770491803279,165,73.60454178984145,229,64,64,0.375,0.625,0.0,0,1,0.7115475428918885,0.3231085936876661,1500,1.49200704655344
K27Ba24Cl75,3,0.6606874726434099,0.6105971060332644,0.596353202317724,0.5953339026218046,0.595240941640145,24.857142857142854,39,11.863945578231291,56,17,17,58.3095238095238,91,42.48866213151928,94,3,94,55.63870714285714,101.874,31.119349659863943,137.327,35.453,35.453,364.732619047619,828.4,242.00662131519272,1000.0,171.6,171.6,10.714285714285714,16,7.482993197278912,17,1,17,3.7857142857142856,3,0.9353741496598639,6,3,3,145.16666666666666,113,51.388888888888886,215,102,102,2.2261904761904763,2.3400000000000003,1.1116780045351473,3.16,0.82,3.16,1.7857142857142856,1,0.33673469387755106,2,1,2,2.9761904761904763,5,2.409297052154195,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,4.761904761904762,6,2.6643990929705215,7,1,7,0.21428571428571427,1,0.336734693877551,1,0,0,0.5952380952380952,1,0.481859410430839,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.8095238095238095,1,0.30839002267573695,1,0,1,42.35994047619762,48.60916666669999,21.26481009071145,73.1066666667,24.4975,24.4975,1.4839285714285713,2.493,1.2012755102040815,2.493,0,2.493,0,0,0,0,0,0,130.78571428571428,165,79.50680272108843,229,64,64,0.375,0.625,0.0,0,1,0.7456133690005964,0.35453422845793836,1150,2.18369675204795
K45Mg6Cl57,3,0.6747198778606177,0.6032431833306371,0.5567829672400855,0.5411319954524558,0.5325433551315576,17.555555555555557,7,1.203703703703704,19,12,17,54.63888888888889,91,43.032407407407405,94,3,94,36.35254166666667,14.793300000000002,2.288131944444444,39.0983,24.305,35.453,282.06527777777774,751.4,116.60223765432097,923.0,171.6,171.6,9.500000000000002,16,7.916666666666666,17,1,17,3.416666666666667,1,0.48611111111111116,4,3,3,146.25,101,47.29166666666667,203,102,102,2.082222222222222,2.3400000000000003,1.1376543209876546,3.16,0.82,3.16,1.5833333333333335,1,0.4861111111111111,2,1,2,2.638888888888889,5,2.492283950617284,5,0,5,0.0,0,0.0,0,0,0,0,0,0,0,0,0,4.222222222222222,6,2.932098765432099,7,1,7,0.4166666666666667,1,0.48611111111111105,1,0,0,0.5277777777777778,1,0.4984567901234568,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.9444444444444444,1,0.1049382716049383,1,0,1,44.66201388890278,50.21666666669999,23.70387731483102,73.1066666667,22.89,24.4975,1.31575,2.493,1.2426527777777778,2.493,0,2.493,0,0,0,0,0,0,139.97222222222223,165,80.1929012345679,229,64,64,0.375,0.625,0.0,0,1,0.7456133690005964,0.3643470934122443,1000,1.38345722877122
Cs39Zn12Cl63,3,0.658420842273516,0.5943729371579022,0.5623589188655242,0.5553425377392396,0.55308664008519,31.368421052631582,38,16.168975069252078,55,17,17,60.92105263157895,89,38.2617728531856,94,5,94,71.94220722894738,97.4524519,41.711693722299174,132.9054519,35.453,35.453,270.9207894736842,521.0799999999999,109.77560941828253,692.68,171.6,171.6,11.0,16,6.842105263157895,17,1,17,4.131578947368421,3,1.2783933518005541,6,3,3,152.68421052631578,142,62.4792243767313,244,102,102,2.190263157894737,2.37,1.071814404432133,3.16,0.79,3.16,1.6578947368421053,1,0.4501385041551247,2,1,2,2.7631578947368425,5,2.472299168975069,5,0,5,1.0526315789473684,10,1.8836565096952909,10,0,0,0,0,0,0,0,0,5.473684210526316,11,3.0609418282548475,12,1,7,0.34210526315789475,1,0.4501385041551247,1,0,0,0.5526315789473685,1,0.4944598337950139,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.8947368421052633,1,0.188365650969529,1,0,1,54.61138157894737,101.805,41.84194944598338,115.765,13.96,24.4975,1.3777105263157896,2.493,1.2326883656509695,2.493,0,2.493,0,0,0,0,0,0,134.1315789473684,165,77.51385041551248,229,64,64,0.30288461538461536,0.5048076923076924,0.1923076923076923,0,1,0.7544427103724891,0.3479752991008642,1050,2.47366713556443
Li35Zr16Cl99,3,0.7081117300413984,0.6704825611952878,0.6607419025856985,0.6600653363773568,0.6600020139075862,16.186666666666667,37,6.153777777777778,40,3,17,66.96666666666667,93,35.684,94,1,94,34.74910666666667,84.283,12.977116444444446,91.224,6.941,35.453,446.10366666666664,1956.4,362.34484,2128.0,171.6,171.6,11.88,16,6.7584,17,1,17,2.98,3,0.45733333333333337,5,2,3,115.85333333333334,73,18.2864,175,102,102,2.4561333333333337,2.18,0.9291039999999999,3.16,0.98,3.16,1.7666666666666666,1,0.35777777777777786,2,1,2,3.3000000000000003,5,2.2439999999999998,5,0,5,0.21333333333333335,2,0.3811555555555556,2,0,0,0,0,0,0,0,0,5.28,6,2.2704,7,1,7,0.23333333333333334,1,0.35777777777777775,1,0,0,0.66,1,0.4488,1,0,1,0.8533333333333334,8,1.5246222222222223,8,0,0,0,0,0,0,0,0,1.7466666666666666,7,1.3340444444444444,8,1,1,22.514261111103334,7.9041666667,2.763099629641555,24.4975,16.5933333333,24.4975,1.64538,2.493,1.1188584000000001,2.493,0,2.493,0,0,0,0,0,0,116.36666666666667,165,69.124,229,64,64,0.3345959595959596,0.6250000000000001,0.040404040404040414,0,1,0.6952001660642468,0.29546923512524853,1100,1.67682741608391
Ca32Zn19Cl102,3,0.7096546503449441,0.6748635604860155,0.6671012192829674,0.6666958917649182,0.6666672857705356,19.241830065359476,13,2.989106753812636,30,17,17,72.69934640522875,87,28.40087145969499,94,7,94,40.13674509803921,29.926999999999992,6.269566576957575,65.38,35.453,35.453,433.6216993464052,943.4,349.36226579520695,1115.0,171.6,171.6,13.241830065359476,15,5.010893246187364,17,2,17,3.3333333333333335,1,0.44444444444444453,4,3,3,119.9607843137255,74,23.947712418300654,176,102,102,2.5207189542483657,2.16,0.8523747276688456,3.16,1.0,3.16,2.0,0,0.0,2,2,2,3.333333333333333,5,2.2222222222222223,5,0,5,1.2418300653594772,10,2.17523174847281,10,0,0,0,0,0,0,0,0,6.57516339869281,10,1.9137938399760777,12,2,7,0.0,0,0.0,0,0,0,0.6666666666666666,1,0.4444444444444444,1,0,1,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1,0.4444444444444444,1,0,1,25.96486928104575,23.810000000000002,4.938093895510274,37.77,13.96,24.4975,1.662,2.493,1.108,2.493,0,2.493,0,0,0,0,0,0,113.81699346405227,161,66.42265795206971,225,64,64,0.30417495029821073,0.5069582504970178,0.1888667992047714,0,1,0.6885137241525929,0.26915225780633417,1350,1.91344052857142
