compounds,pbe_Eg_indir,hse_Eg_indir,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,structural complexity per atom,structural complexity per cell,max packing efficiency
1739710-Tl3AsSe4,0.64,0.3273,As1 Se4 Tl3,33,81,48,51.5,22.125,34,76,89,13,83.5,5.625,89,74.9216,204.3833,129.4617,125.4889375,59.17077188,78.96,494,1090,596,599.625,122.59375,494,13,16,3,14.75,1.3125,16,4,6,2,4.75,0.9375,4,119,145,26,129.25,11.8125,120,1.62,2.55,0.93,2.155,0.40125,2.55,2,2,0,2,0,2,1,4,3,2.75,1.3125,4,10,10,0,10,0,10,0,14,14,5.25,6.5625,0,15,27,12,20,5.25,16,0,0,0,0,0,0,2,5,3,3.25,1.3125,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.25,1.3125,2,22.175,26.91,4.735,25.823125,0.91203125,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,0,14,194,180,100.5,86.5,14,1.405639062,11.2451125,0.350539545
1372924-Rb3AuSe2,1.791,3.7084,Au2 Rb6 Se4,34,79,45,43,12,37,4,89,85,42.66666667,38.66666667,4,78.96,196.966569,118.006569,101.8816615,31.69496917,85.4678,312.46,1337.33,1024.87,543.785,264.515,312.46,1,16,15,7.666666667,6.666666667,1,4,6,2,4.833333333,0.555555556,5,120,220,100,172.6666667,47.33333333,220,0.82,2.55,1.73,1.683333333,0.863333333,0.82,1,2,1,1.333333333,0.444444444,1,0,4,4,1.333333333,1.777777778,0,0,10,10,5,5,0,0,14,14,2.333333333,3.888888889,0,1,25,24,10,9,1,0,1,1,0.666666667,0.444444444,1,0,2,2,0.666666667,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1.333333333,0.444444444,1,16.7,90.7225,74.0225,56.78458333,33.93791667,90.7225,0,0.799,0.799,0.266333333,0.355111111,0,0,0,0,0,0,0,14,229,215,156.6666667,95.11111111,229,1.459147917,17.509775,0.372019454
1442302-Pb4SeCl6,1.699,0.1352,Cl6 Pb4 Se1,17,82,65,42.18181818,28.95867769,17,81,94,13,88.81818182,5.685950413,94,35.453,207.2,171.747,101.8616364,76.60971901,35.453,171.6,600.61,429.01,356.9127273,202.1593388,171.6,14,17,3,15.81818182,1.32231405,17,3,6,3,4.181818182,1.32231405,3,102,146,44,119.6363636,19.23966942,102,2.33,3.16,0.83,2.802727273,0.389752066,3.16,2,2,0,2,0,2,2,5,3,3.818181818,1.32231405,5,0,10,10,4.545454545,4.958677686,0,0,14,14,5.090909091,6.479338843,0,7,28,21,15.45454545,9.223140496,7,0,0,0,0,0,0,1,4,3,2.181818182,1.32231405,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2.181818182,1.32231405,1,24.4975,28.11,3.6125,25.94045455,1.57785124,24.4975,0,2.493,2.493,1.432454545,1.156958678,2.493,0,0,0,0,0,0,14,225,211,118,77.81818182,64,2.732158891,30.05374781,0.476199186
1365948-Li3TaSe4,2.583,4.8198,Li3 Se4 Ta1,3,73,70,27.25,18.1875,34,1,89,88,50.875,38.125,89,6.941,180.94788,174.00688,64.70136,43.32027,78.96,453.69,3290,2836.31,828.38375,615.4040625,494,1,16,15,9,7,16,2,6,4,3.5,1.125,4,120,170,50,129.25,10.1875,120,0.98,2.55,1.57,1.83,0.72,2.55,1,2,1,1.625,0.46875,2,0,4,4,2,2,4,0,10,10,5.375,4.625,10,0,14,14,1.75,3.0625,0,1,19,18,10.75,7.3125,16,0,1,1,0.375,0.46875,0,0,2,2,1,1,2,0,7,7,0.875,1.53125,0,0,0,0,0,0,0,1,7,6,2.25,1.1875,2,16.59333333,25.92,9.326666667,21.4475,4.4725,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,0,14,229,215,121.5,107.5,14,1.405639062,11.2451125,0.262341684
1742260-YTlSe2,1.212,2.205,Se2 Tl1 Y1,34,81,47,47,17,34,12,89,77,66.5,27.25,89,78.96,204.3833,125.4233,112.8022875,45.79050625,78.96,494,1799,1305,841,479,494,3,16,13,12,4.5,16,4,6,2,4.75,0.75,4,120,190,70,143.75,23.75,120,1.22,2.55,1.33,1.985,0.565,2.55,2,2,0,2,0,2,0,4,4,2.25,1.75,4,1,10,9,7.75,3.375,10,0,14,14,3.5,5.25,0,3,27,24,15.5,6.25,16,0,0,0,0,0,0,0,5,5,2.25,1.375,2,0,9,9,2.25,3.375,0,0,0,0,0,0,0,2,9,7,4.5,2.5,2,25.92,32.365,6.445,27.77875,2.293125,25.92,0,0.799,0.799,0.3995,0.3995,0.799,0,0,0,0,0,0,14,194,180,104,90,14,1.5,6,0.48674027
1440302-OsSe2,0.463,0.1278,Os4 Se8,34,76,42,48,18.66666667,34,57,89,32,78.33333333,14.22222222,89,78.96,190.23,111.27,116.05,49.45333333,78.96,494,3306,2812,1431.333333,1249.777778,494,8,16,8,13.33333333,3.555555556,16,4,6,2,4.666666667,0.888888889,4,120,144,24,128,10.66666667,120,2.2,2.55,0.35,2.433333333,0.155555556,2.55,2,2,0,2,0,2,0,4,4,2.666666667,1.777777778,4,6,10,4,8.666666667,1.777777778,10,0,14,14,4.666666667,6.222222222,0,16,22,6,18,2.666666667,16,0,0,0,0,0,0,0,2,2,1.333333333,0.888888889,2,0,4,4,1.333333333,1.777777778,0,0,0,0,0,0,0,2,4,2,2.666666667,0.888888889,2,14.09,25.92,11.83,21.97666667,5.257777778,25.92,0,0.799,0.799,0.532666667,0.355111111,0.799,0,0,0,0,0,0,14,194,180,74,80,14,2.584962501,31.01955001,0.34580498
25639-Ta2Tl4Se11,1.078,0.1893,Se22 Ta4 Tl8,34,81,47,49.64705882,20.24913495,34,48,89,41,81.11764706,10.20069204,89,78.96,204.3833,125.4233,120.4699388,53.71874436,78.96,494,3290,2796,842.4705882,575.8892734,494,5,16,11,14,2.588235294,16,4,6,2,4.705882353,0.91349481,4,120,170,50,131.7647059,15.22491349,120,1.5,2.55,1.05,2.207647059,0.443044983,2.55,2,2,0,2,0,2,0,4,4,2.823529412,1.522491349,4,3,10,7,9.176470588,1.453287197,10,0,14,14,4.941176471,6.394463668,0,16,27,11,18.94117647,3.806228374,16,0,0,0,0,0,0,0,5,5,2.470588235,1.190311419,2,0,7,7,0.823529412,1.453287197,0,0,0,0,0,0,0,2,7,5,3.294117647,1.674740484,2,18.12,26.91,8.79,25.23529412,1.674186851,25.92,0,0.799,0.799,0.517,0.364941176,0.799,0,0,0,0,0,0,14,229,215,81.64705882,87.5432526,14,4.087462841,138.9737366,0.314234146
1739226-IrSe2,0.4,0.3186,Ir4 Se8,34,77,43,48.33333333,19.11111111,34,60,89,29,79.33333333,12.88888889,89,78.96,192.217,113.257,116.7123333,50.33644444,78.96,494,2739,2245,1242.333333,997.7777778,494,9,16,7,13.66666667,3.111111111,16,4,6,2,4.666666667,0.888888889,4,120,141,21,127,9.333333333,120,2.2,2.55,0.35,2.433333333,0.155555556,2.55,2,2,0,2,0,2,0,4,4,2.666666667,1.777777778,4,7,10,3,9,1.333333333,10,0,14,14,4.666666667,6.222222222,0,16,23,7,18.33333333,3.111111111,16,0,0,0,0,0,0,0,2,2,1.333333333,0.888888889,2,0,3,3,1,1.333333333,0,0,0,0,0,0,0,2,3,1,2.333333333,0.444444444,2,14.21,25.92,11.71,22.01666667,5.204444444,25.92,0,0.799,0.799,0.532666667,0.355111111,0.799,0,0,0,0,0,0,14,225,211,84.33333333,93.77777778,14,1.584962501,19.01955001,0.335156974
1737672-Tl2SeBr6,1.712,3.0076,Br12 Se2 Tl4,34,81,47,45.11111111,15.95061728,35,76,95,19,90.11111111,6.518518519,95,78.96,204.3833,125.4233,107.4611778,43.07649877,79.904,265.8,577,311.2,360.3111111,126.0148148,265.8,13,17,4,16,1.333333333,17,4,6,2,4.444444444,0.691358025,4,120,145,25,125.5555556,8.641975309,120,1.62,2.96,1.34,2.616666667,0.457777778,2.96,2,2,0,2,0,2,1,5,4,4,1.333333333,5,10,10,0,10,0,10,0,14,14,3.111111111,4.839506173,0,16,27,11,19.11111111,3.50617284,17,0,0,0,0,0,0,1,5,4,2,1.333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,2,1.333333333,1,25.92,29.48,3.56,28.51333333,1.288888889,29.48,0,1.457,1.457,1.060111111,0.529185185,1.457,0,0,0,0,0,0,14,194,180,87.33333333,47.40740741,64,1.836591668,33.05865003,0.365589606
1752006-Ga2PbSe4,1.194,0.0327,Ga2 Pb1 Se4,31,82,51,40,12,34,74,89,15,83.57142857,6.204081633,89,69.723,207.2,137.477,94.64085714,32.1597551,78.96,302.91,600.61,297.7,454.6328571,86.69877551,494,13,16,3,14.85714286,1.306122449,16,4,6,2,4.285714286,0.489795918,4,120,146,26,124.2857143,6.204081633,120,1.81,2.55,0.74,2.307142857,0.284081633,2.55,2,2,0,2,0,2,1,4,3,2.857142857,1.306122449,4,10,10,0,10,0,10,0,14,14,2,3.428571429,0,13,28,15,16.85714286,3.183673469,16,0,0,0,0,0,0,2,5,3,3.142857143,1.306122449,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.142857143,1.306122449,2,18.8575,28.11,9.2525,24.215,3.061428571,25.92,0,0.799,0.799,0.456571429,0.391346939,0.799,0,0,0,0,0,0,14,225,211,58.42857143,50.7755102,14,1.664497779,11.65148445,0.302041812
